,Unnamed: 0,date,stock,score1,score2,pred_rate,name
288,3296,300588,2024-01-16,21.53298,21.538431,0.0,熙菱信息
289,1088,603269,2024-01-16,24.1581,24.164211,0.0,海鸥股份
290,568,600737,2024-01-16,121.72761,121.75839,0.0,中粮糖业
291,2316,2490,2024-01-16,9.778614,9.781085,0.0,山东墨龙
292,1411,603987,2024-01-16,23.225851,23.231678,0.0,康德莱
293,197,600261,2024-01-16,72.50321,72.521385,0.0,阳光照明
294,318,600420,2024-01-16,74.39336,74.41194,0.0,现代制药
295,1940,2095,2024-01-16,98.196846,98.22127,0.0,生 意 宝
296,1075,603229,2024-01-16,46.92519,46.936832,0.0,奥翔药业
297,3476,300780,2024-01-16,21.118734,21.123972,0.0,德恩精工
298,1195,603567,2024-01-16,28.149889,28.156868,0.0,珍宝岛
299,3250,300539,2024-01-16,28.655067,28.662159,0.0,横河模具
300,2567,2765,2024-01-16,14.790806,14.794457,0.0,蓝黛传动
301,1715,801,2024-01-16,95.152405,95.17578,0.0,四川九洲
302,1073,603227,2024-01-16,15.1091,15.112811,0.0,雪峰科技
303,229,600303,2024-01-16,20.372335,20.37732,0.0,曙光股份
304,3253,300542,2024-01-16,46.02812,46.039314,0.0,新晨科技
305,976,603037,2024-01-16,44.630287,44.64112,0.0,凯众股份
306,2288,2458,2024-01-16,91.31065,91.33281,0.0,益生股份
307,3223,300510,2024-01-16,36.948975,36.957935,0.0,金冠股份
308,3340,300634,2024-01-16,22.064405,22.069715,0.0,彩讯股份
309,1103,603306,2024-01-16,62.989548,63.004616,0.0,华懋科技
310,1844,996,2024-01-16,13.982177,13.985511,0.0,中国中期
311,1799,931,2024-01-16,6.5836864,6.585252,0.0,中 关 村
312,2571,2771,2024-01-16,73.624435,73.64193,0.0,真视通
313,3220,300506,2024-01-16,27.31824,27.324724,0.0,名家汇
314,1104,603308,2024-01-16,21.337694,21.342754,0.0,应流股份
315,720,600962,2024-01-16,16.50574,16.509651,0.0,国投中鲁
316,2269,2437,2024-01-16,43.95977,43.97017,0.0,誉衡药业
317,28,600038,2024-01-16,112.932205,112.95891,0.0,中直股份
318,2006,2166,2024-01-16,57.93268,57.94633,0.0,莱茵生物
319,2348,2528,2024-01-16,54.51033,54.523167,0.0,英飞拓
320,1078,603236,2024-01-16,152.67885,152.71475,0.0,移远通信
321,3287,300579,2024-01-16,93.8482,93.870255,0.0,数字认证
322,663,600851,2024-01-16,60.06979,60.08388,0.0,海欣股份
323,1327,603822,2024-01-16,30.652792,30.659962,0.0,嘉澳环保
324,2832,300092,2024-01-16,34.715973,34.724052,0.0,科新机电
325,1783,911,2024-01-16,14.126615,14.129887,0.0,*ST 南糖
326,3257,300547,2024-01-16,70.08802,70.10425,0.0,川环科技
327,2291,2461,2024-01-16,17.659449,17.663527,0.0,珠江啤酒
328,1074,603228,2024-01-16,48.33738,48.348522,0.0,景旺电子
329,746,600993,2024-01-16,276.3353,276.39822,0.0,马应龙
330,1694,768,2024-01-16,156.55052,156.58607,0.0,中航飞机
331,1005,603089,2024-01-16,24.955048,24.960703,0.0,正裕工业
332,707,600909,2024-01-16,5.8658447,5.867171,0.0,华安证券
333,580,600751,2024-01-16,9.711149,9.713343,0.0,海航科技
334,3352,300647,2024-01-16,18.155666,18.159725,0.0,超频三
335,3354,300649,2024-01-16,35.857044,35.865036,0.0,杭州园林
336,1572,572,2024-01-16,19.831491,19.83591,0.0,*ST 海马
337,2722,2941,2024-01-16,14.22252,14.2256775,0.0,新疆交建
338,1525,514,2024-01-16,24.07145,24.076792,0.0,渝 开 发
339,2085,2246,2024-01-16,13.682238,13.685264,0.0,北化股份
340,324,600428,2024-01-16,25.733486,25.739172,0.0,中远海特
341,3487,300792,2024-01-16,71.34435,71.36009,0.0,壹网壹创
342,1775,901,2024-01-16,48.18344,48.19405,0.0,航天科技
343,2231,2396,2024-01-16,59.829445,59.842533,0.0,星网锐捷
344,1860,2007,2024-01-16,663.30444,663.4482,0.0,华兰生物
345,2815,300072,2024-01-16,77.834114,77.85097,0.0,三聚环保
346,765,601016,2024-01-16,7.4215117,7.423117,0.0,节能风电
347,154,600203,2024-01-16,13.001374,13.004179,0.0,福日电子
348,2934,300201,2024-01-16,53.961132,53.97274,0.0,海伦哲
349,2296,2468,2024-01-16,20.101257,20.105577,0.0,申通快递
