stock,date,score1,score2
'600753,2024-01-26,26.682869,28.002787
'600754,2024-01-26,56.79188,56.802753
'600755,2024-01-26,193.76389,194.47282
'600756,2024-01-26,58.44844,60.295868
'600757,2024-01-26,65.80558,68.98496
'600758,2024-01-26,10.501583,10.706941
'600759,2024-01-26,11.12199,11.233765
'600760,2024-01-26,311.42334,313.39816
'600761,2024-01-26,176.00743,176.74644
'600763,2024-01-26,174.30298,172.09895
'600764,2024-01-26,171.67958,170.16068
'600765,2024-01-26,174.08861,180.82658
'600766,2024-01-26,80.92462,83.547714
'600768,2024-01-26,30.007349,30.188995
'600769,2024-01-26,31.491455,32.806522
'600770,2024-01-26,71.62427,73.841736
'600773,2024-01-26,77.06054,77.88206
'600774,2024-01-26,53.17119,53.989918
'600776,2024-01-26,36.24106,37.273285
'600777,2024-01-26,101.418564,99.76011
'600778,2024-01-26,18.683434,18.529987
'600779,2024-01-26,262.84283,262.00558
'600780,2024-01-26,78.897995,86.04725
'600782,2024-01-26,37.2077,37.741024
'600784,2024-01-26,44.448524,44.634396
'600785,2024-01-26,81.207245,80.93696
'600787,2024-01-26,139.67581,141.83922
'600789,2024-01-26,20.396986,21.077465
'600790,2024-01-26,54.351986,54.462772
'600791,2024-01-26,26.770597,27.2895
'600792,2024-01-26,25.077723,25.977667
'600793,2024-01-26,20.685825,21.18728
'600794,2024-01-26,77.38915,78.56363
'600795,2024-01-26,1156.0647,1163.7957
'600796,2024-01-26,37.83468,37.81266
'600797,2024-01-26,70.09823,72.739655
'600798,2024-01-26,24.726954,24.741985
'600800,2024-01-26,31.019753,31.684034
'600801,2024-01-26,97.65798,97.11621
'600802,2024-01-26,21.33131,21.50232
'600803,2024-01-26,97.71595,97.704414
'600804,2024-01-26,41.180813,42.22567
'600805,2024-01-26,64.56107,66.63911
'600807,2024-01-26,20.643085,22.728052
'600808,2024-01-26,4.943024,4.949054
'600809,2024-01-26,911.5516,906.017
'600810,2024-01-26,23.718884,24.18495
'600811,2024-01-26,37.76563,38.579315
'600812,2024-01-26,25.45848,26.477678
'600814,2024-01-26,40.173965,41.03022
'600815,2024-01-26,13.926473,14.077051
'600816,2024-01-26,117.33341,123.393166
'600817,2024-01-26,30.161545,30.238867
'600818,2024-01-26,16.43025,17.202682
'600819,2024-01-26,13.244555,13.399223
'600820,2024-01-26,184.05486,184.83682
'600821,2024-01-26,34.719925,35.990376
'600822,2024-01-26,19.588676,21.312767
'600823,2024-01-26,75.938065,76.389
'600824,2024-01-26,98.566246,99.20116
'600825,2024-01-26,50.08515,51.623478
'600826,2024-01-26,34.100883,34.726112
'600827,2024-01-26,66.910095,67.01647
'600828,2024-01-26,38.629,39.171265
'600829,2024-01-26,60.76983,61.29044
'600830,2024-01-26,66.9431,71.102036
'600831,2024-01-26,32.433575,34.419857
'600833,2024-01-26,64.064545,65.82476
'600834,2024-01-26,24.915462,25.143347
'600835,2024-01-26,47.133526,47.617897
'600836,2024-01-26,41.789898,43.703655
'600837,2024-01-26,178.30086,180.56668
'600838,2024-01-26,63.01474,63.1194
'600839,2024-01-26,91.185326,93.326385
'600841,2024-01-26,13.964685,14.217647
'600843,2024-01-26,9.926057,10.097521
'600844,2024-01-26,17.452707,17.762062
'600845,2024-01-26,365.08072,365.9009
'600846,2024-01-26,120.24834,121.02328
